	category	psmiles	compound	smiles	average size	water3	logkd
374	PP	[*]CC([*])C	2,2′,3,4′,5,5′,6-heptachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl	257.5	3	5.73
950	PE	[*]C=C[*]	2-nitrotoluene	CC1=CC=CC=C1[N+](=O)[O-]	280	2	2.423245874
507	PE	[*]C=C[*]	2,2',3,5-tetrachlorobiphenyl	C1=CC=C(C=C1)C2=CC(=CC(C2(Cl)Cl)Cl)Cl	150	1	5.5
837	PE	[*]C=C[*]	Methyl tert-butyl ether	CC(C)(C)OC	150	1	1.14
891	PVC	[*]C=C[*]Cl	tylosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC	150	2	2.191171456
816	PS	[*]C=C[*]c1ccccc1	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	0.2	2	3.990454296
860	PS	[*]C=C[*]c1ccccc1	atorvastatin (ATV)	CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4	50.4	2	2.591064607
137	PP	[*]CC([*])C	naproxen (NPX)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	1000	1	0.278753601
409	PE	[*]C=C[*]	triclosan (TCS)	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl	225	2	2.954242509
185	PP	[*]CC([*])C	beta-Hexachlorocyclohexane	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	257.5	3	2.18
786	PE	[*]C=C[*]	sulfadiazine (SDZ)	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	149.1	3	0.799340549
632	PE	[*]C=C[*]	Carbamazepine	C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N	135	2	2.281
1074	PP	[*]CC([*])C	benzophenone-3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	75	2	2.528273777
952	PS	[*]C=C[*]c1ccccc1	o-xylene	CC1=CC=CC=C1C	3500	2	1.260071388
685	PE	[*]C=C[*]	naphthalene	C1=CC=C2C=CC=CC2=C1	150	2	2.607347777
423	PE	[*]C=C[*]	DDT	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl	225	3	4.977723605
609	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	2500	3	4.113943352
596	PA	[*]NCCCCCCCC(=O)[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	220	3	3.320146286
652	PP	[*]CC([*])C	fluoranthene	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	3000	1	3.750122527
641	PVC	[*]C=C[*]Cl	3-BCZ	C1=CC=C2C(=C1)C3=C(N2)C=CC(=C3)Br	150	3	1.92992956
148	PE	[*]C=C[*]	17B-estradiol (E2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	9.5	2	1.660865478
781	PE	[*]C=C[*]	sulfadiazine (SDZ)	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	149.1	2	0.792391689
1026	PE	[*]C=C[*]	diethyl phthalate (DEP)	CCOC(=O)C1=CC=CC=C1C(=O)OCC	150	2	1.204119983
801	PP	[*]CC([*])C	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	3000	1	3.698970004
564	PVC	[*]C=C[*]Cl	Phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	1	4.85
367	PE	[*]C=C[*]	2,3′,4,4′,5-pentachlorobiphenyl	C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	95	1	6.36
667	PVC	[*]C=C[*]Cl	anthracene (ANT)	C1=CC=C2C=C3C=CC=CC3=CC2=C1	140	2	2.720159303
1076	PS	[*]C=C[*]c1ccccc1	benzophenone-3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	250	2	2.471291711
503	PS	[*]C=C[*]c1ccccc1	bromobenzene (BRB)	C1=CC=C(C=C1)Br	150	2	2.707314634
232	PE	[*]C=C[*]	fipronil	C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F	112.5	2	2.079181246
935	PP	[*]CC([*])C	sulfamethoxazole (SMX)	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	125	2	1.489958479
339	PE	[*]C=C[*]	2,3′,4,4′-tetrachlorobiphenyl	C1=CC(=C(C=C1C2=C(C=C(C=C2)Cl)Cl)Cl)Cl	225	3	6.69
158	PVC	[*]C=C[*]Cl	17-a-ethinyloestradiol (EE2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC 	124.2	2	3.056981037
256	PE	[*]C=C[*]	PCB-44	C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC(=C2)Cl)Cl	100	1	4.95000003
761	PE	[*]C=C[*]	Pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	150	3	5.57
96	PE	[*]C=C[*]	FOSA	C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F	150	2	2.474653253
1084	PE	[*]C=C[*]	trimethoprim	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	150	3	6.47
308	PE	[*]C=C[*]	2,4-dinitrochlorobenzene	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl	150	1	2.48
462	PE	[*]C=C[*]	o,p’-DDD	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl	135	2	4.94
518	PVC	[*]C=C[*]Cl	phenol	C1=CC=C(C=C1)O	4300	2	3.954242509
895	PE	[*]C=C[*]	amoxicillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C	3500	2	3.335798783
403	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	2,4-dichlorophenol (DCP)	C1=CC(=C(C=C1Cl)Cl)O	150	2	1.46834733
918	PP	[*]CC([*])C	imazapic	CC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O	4.5	1	1.605305046
666	PS	[*]C=C[*]c1ccccc1	Anthracene	C1=CC=C2C=C3C=CC=CC3=CC2=C1	221.5	3	5.61
249	PP	[*]CC([*])C	2,2′,3,3′,4,6′-hexachlorobiphenyl	C1=CC(=C(C(=C1)Cl)Cl)C2=C(C(=C(C=C2Cl)Cl)Cl)Cl 	257.5	3	6.19
452	PE	[*]C=C[*]	PCB 74	C1=CC(=CC=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl	150	3	6.77
15	PE	[*]C=C[*]	perfluorohexadecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	150	1	2.53
159	PA	[*]NCCCCCCCC(=O)[*]	17a-ethynylestradiol (EE2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC 	350	2	3.04743064
594	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	2	3.301029996
570	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	180	2	4.030194785
48	PS	[*]C=C[*]c1ccccc1	PFDA	C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	1	2.000867722
473	PP	[*]CC([*])C	Diclofenac	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	150	3	1.09
379	PE	[*]C=C[*]	2,2′,5,5′-tetrachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl	135	2	5.5
491	PP	[*]CC([*])C	nitrobenzene	C1=CC=C(C=C1)[N+](=O)[O-]	59	2	3.229988837
718	PE	[*]C=C[*]	Benzene	C1=CC=CC=C1	135	2	2.19
664	PP	[*]CC([*])C	Anthracene	C1=CC=C2C=C3C=CC=CC3=CC2=C1	257.5	3	4.29
372	PE	[*]C=C[*]	2,2′,3,4′,5,5′,6-heptachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl	150	1	7.1
705	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	0.1219	2	4.204119983
955	PS	[*]C=C[*]c1ccccc1	1-methylnaphthalene	CC1=CC=CC2=CC=CC=C12	150	2	3.009663317
449	PE	[*]C=C[*]	2,4′,5-trichlorobiphenyl	C1=CC(=CC=C1C2=C(C=CC(=C2)Cl)Cl)Cl	135	2	5.301
415	PP	[*]CC([*])C	PCB 160	C1=CC(=CC(=C1)Cl)C2=C(C(=C(C(=C2Cl)Cl)Cl)Cl)Cl	150	3	6.06
127	PS	[*]C=C[*]c1ccccc1	tetracycline (TC)	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	74	2	1.763427994
558	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	2500	1	3.963787827
511	PS	[*]C=C[*]c1ccccc1	biphenyl (BIP)	C1=CC=C(C=C1)C2=CC=CC=C2	150	2	3.264487256
1056	PE	[*]C=C[*]	flubendazole (FLU)	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F	94	2	0.146128036
237	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	2,4,6-trichlorophenol (TCP)	C1=C(C=C(C(=C1Cl)O)Cl)Cl	150	2	1.021189299
167	PE	[*]C=C[*]	Hexachlorobenzene	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl	225	3	4.63
893	PVC	[*]C=C[*]Cl	amoxicillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C	150	1	1.39
522	PVC	[*]C=C[*]Cl	9-hydroxyphenanthrene	C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)O  	150	1	4.91
80	PS	[*]C=C[*]c1ccccc1	PFPeA	C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O	9.5	1	1.411619706
872	PE	[*]C=C[*]	ibuprofen (IBU)	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	10	3	0.875061263
300	PP	[*]CC([*])C	2,2′,3,4,4′,5-hexachlorobiphenyl	C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl 	257.5	3	5.77
974	PE	[*]C=C[*]	n-propylbenzene (PB)	CCCC1=CC=CC=C1	150	2	2.440909082
324	PS	[*]C=C[*]c1ccccc1	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	4000	2	2.660011221
344	PE	[*]C=C[*]	PCB 126	C1=CC(=C(C=C1C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl)Cl	150	3	7.02
215	PE	[*]C=C[*]	PCB 180	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl	150	1	7.43
397	PVC	[*]C=C[*]Cl	2,2‘,4,4‘-tetrachlorobiphenyl	C1=CC(=C(C=C1Cl)Cl)C2=C(C=C(C=C2)Cl)Cl	150	1	3.51
30	PE	[*]C=C[*]	PFTrA	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O  	9.5	1	2.775173385
242	PE	[*]C=C[*]	1,3,5-trichlorobenzene (TeCB)	C1=C(C=C(C=C1Cl)Cl)Cl	132.5	1	3.963017688
595	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	2	2	4.209999974
737	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	3000	1	4.345701044
812	PP	[*]CC([*])C	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	117.29	2	1.756636108
557	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	1	3.91
417	PE	[*]C=C[*]	p,p’-DDE	C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl 	135	2	5.77
962	PE	[*]C=C[*]	Difenoconazole	CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl	150	1	2.16
777	PP	[*]CC([*])C	Sulfadiazine	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	257.5	3	0.853
27	PE	[*]C=C[*]	perfluorotridecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	150	1	2.78
350	PE	[*]C=C[*]	PCB 156	C1=CC(=C(C=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl	150	1	7.18
122	PE	[*]C=C[*]	tetracycline (TC)	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	125	2	1.826074803
881	PE	[*]C=C[*]	propranolol (PRO)	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O	94	2	0.176091259
1085	PP	[*]CC([*])C	Trimethoprim	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	150	3	0.59
828	PE	[*]C=C[*]	triadimefon	CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl	150	1	2.21
795	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	219	1	4.003929902
626	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.342422681
986	PE	[*]C=C[*]	dibutyl phthalate	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	150	1	3.09
202	PP	[*]CC([*])C	Pentachlorobenzene	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl	150	3	4.5
1086	PP	[*]CC([*])C	Trimethoprim	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	257.5	3	0.594
271	PE	[*]C=C[*]	Diflubenzuron	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC=C(C=C2)Cl)F	150	1	2.71
845	PS	[*]C=C[*]c1ccccc1	tetrabromobisphenol-A	CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br	103	2	3.354684554
553	PP	[*]CC([*])C	Chrysene	C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43	257.5	3	5.51
277	PE	[*]C=C[*]	2,2′,3,3′,4,4′-hexachlorobiphenyl	C1=CC(=C(C(=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl)Cl	135	2	6.5
933	PE	[*]C=C[*]	sulfamethoxazole (SMX)	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	46.5	2	2.84509804
1004	PS	[*]C=C[*]c1ccccc1	norfloxacin (NOR)	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O	200	1	0.934498451
514	PE	[*]C=C[*]	Phenol	C1=CC=C(C=C1)O	150	1	1.7
889	PP	[*]CC([*])C	tylosin	CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC	150	2	1.973589623
813	PS	[*]C=C[*]c1ccccc1	ciprofloxacin (CIP)	C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	132.05	2	1.711807229
147	PA	[*]NCCCCCCCC(=O)[*]	17B-estradiol (E2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	29.7	2	4.731588765
299	PE	[*]C=C[*]	2,2′,3,4,4′,5-hexachlorobiphenyl	C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl 	95	1	6.92
493	PS	[*]C=C[*]c1ccccc1	nitrobenzene	C1=CC=C(C=C1)[N+](=O)[O-]	102	2	2.079904468
994	PE	[*]C=C[*]	trifluralin (TFL)	CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]	154.35	1	4.381853025
644	PE	[*]C=C[*]	fluoranthene	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	219	1	4.113943352
177	PE	[*]C=C[*]	hexachlorobenzene (HeCB)	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl	132.5	1	4.67669361
988	PE	[*]C=C[*]	dibutyl phthalate (DBP)	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	75	2	2.97331262
51	PS	[*]C=C[*]c1ccccc1	PFDA	C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	2.668758542
483	PE	[*]C=C[*]	diclofenac (DCF)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	10	3	0.838849091
972	PS	[*]C=C[*]c1ccccc1	ethyl-benzene	CCC1=CC=CC=C1	3500	2	1.599883072
562	PVC	[*]C=C[*]Cl	Phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	150	1	4.77
22	PS	[*]C=C[*]c1ccccc1	Perfluorotetradecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	10	3	3.09
1098	PE	[*]C=C[*]	Methyl phenyl ether	COC1=CC=CC=C1	150	1	1.33
943	PP	[*]CC([*])C	TAME	CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CCCN=C(N)N)C(=O)OC	4000	2	0.491361694
742	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	219	1	4.966923697
407	PE	[*]C=C[*]	triclosan	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl	1255	2	2.72932681
463	PE	[*]C=C[*]	2,2′,3,5-tetrachlorobiphenyl	C1=CC=C(C(=C1)C2=C(C(=CC(=C2)Cl)Cl)Cl)Cl 	135	2	5.5
671	PE	[*]C=C[*]	Naphthalene	C1=CC=C2C=CC=CC2=C1	150	1	3.11
209	PE	[*]C=C[*]	pentachlorobenzene (PeCB)	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl	132.5	1	4.669514918
408	PE	[*]C=C[*]	Triclosan	C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl	135	2	3.711
142	PP	[*]CC([*])C	naproxen (NPX)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	1000	3	-0.15490196
50	PS	[*]C=C[*]c1ccccc1	PFDA	C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	2.569256833
351	PE	[*]C=C[*]	PCB 156	C1=CC(=C(C=C1C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl)Cl	150	3	7.8
166	PS	[*]C=C[*]c1ccccc1	levofloxacin (LEV)	C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O	0.05	2	3.686734555
731	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	3.198657087
